index,sentence,Hour,Minute
0,nine o'clock,9,-
1,ten o'clock,10,-
2,ten pm,10,-
3,at seven thirty,7,30
4,eleven o'clock,11,-
5,depart by seven a m,7,0
6,seven a m,7,0
7,depart at eight a m,8,0
8,depart at eight a m,8,0
9,depart at seven forty five a m,7,45
10,four p m,4,0
11,depart at one twenty five p m,1,25
12,arrive by ten o'clock p m,10,0
13,depart at six a m,6,0
14,depart six a m,6,0
15,arrive by twelve o'clock,12,0
16,arrive by twelve o'clock p m,12,0
17,depart at one a m,1,0
18,depart around eight p m,8,0
19,arrive by eight thirty,8,30
20,arrive by five o five,5,5
21,arrive by three p m,3,0
22,depart at eight a m,8,0
23,depart at four thirty a m,4,30
24,depart at four a m,4,0
25,arrive by twelve,12,0
26,arrive at twelve p m,12,0
27,arrive by twelve p m,12,0
28,nine o'clock a m,9,0
29,arrive by ten thirty a m,10,30
30,yeah departing from carnegie mellon yes,2,0
31,depart at four thirty a m,4,30
32,arrive by five a m,5,0
33,arrive by five a m,5,0
34,twelve,12,0
35,depart at twelve a m,12,0
36,ten thirty,10,30
37,depart about eleven o'clock a m,11,0
38,depart at ten a m,10,0
39,arrive at seven a m,7,0
40,six p m,6,0
41,arrive by six p m,6,0
42,eleven thirty,11,30
43,depart at fucking eleven,11,0
44,two o'clock a m,2,0
45,ten o'clock,10,0
46,midnight,12,0
47,one a m,1,0
48,one a m,1,0
49,arrive by ten o'clock,10,0
50,depart at five a m,5,0
51,depart at four thirty a m,4,30
52,arrive by eight thirty,8,30
53,seven a m,7,0
54,depart at four thirty a m,4,30
55,ten fifteen p m,10,15
56,ah ten p m,10,0
57,depart at ten p m,10,0
58,like eleventh p m,11,0
59,five thirty,5,30
60,arrive by seven a m,7,0
61,arrive by five thirty a m,5,30
62,six o'clock,6,0
63,depart four a m,4,0
64,depart at four a m,4,0
65,depart at nine a m,9,0
66,arrive by twelve o'clock a m,12,0
67,depart at eleven thirty p m,11,30
68,depart at ten p m,10,0
