index,sentence,LB,UB,Currency,Rate
0,most costly building project in UChistory . The hospital alone will cost about $ 700 million to build andequip .,700 million,700 million,$,-
1,"Family , Firstborn Series # 4 Author : Karen KingsburyOur Price : $ 11.99",11.99,11.99,$,-
2,Sheraton Hotels between 6 : 00 a.m. and 11 : 45 p.m. The cost is $ 7.50 per person one - way .,7.50,7.50,$,person
3,apparently very strong . Cost is $ 99 -$ 350 .,99,99,$,-
4,"pay someone $ 5 to "" write "" ( copy , paste , add keywords and",5,5,$,-
5,"I am Windows 7 , I wo n't run Mac programs either , but you should still pay $ 200 -$ 300 for nice eye candy .",200,200,$,-
6,Price : $ 17.99 ( 0 Bids)Sale Ends : 3 d 1 h 33 m,17.99,17.99,$,-
7,Author : Kath DredgeRetail Price : $ 7.00,7.00,7.00,$,-
8,"totaling $ 3,840 from November 2006 to April 2007 , late charges of $ 128 and other charges of almost $ 200 .",128,128,$,-
9,The Culture Wars : Nothing is Neutral and Not All Gods Are Alike DVDAuthor : Dr. Voddie BauchamOur Price : $ 11.99,11.99,11.99,$,-
10,mending costs $ 60.00 for each area of repair . This means any,60.00,60.00,$,-
11,The price is $ 27.50,27.50,27.50,$,-
12,"messages to 50 or more recipients or 15 or more newsgroups , charge $ 10 per day",10,10,$,day
13,"It costs $ 699 , the free trial offers a 30-days full functionality period .",699,699,$,-
14,Doberman Cosmetic Bag ( Dog Breed Make - up Case)Manufacturer : ClothiersList Price:$ 25.00 Buy New:$ 24.00 You Save:$ 1.00 ( 4 % ),25.00,25.00,$,-
15,Bvlgari Assioma Chronograph Stainless Steel Mens Watch AA 44 C 14 SLDCHOur Price $ 208.00,208.00,208.00,$,-
16,2 Snow Trail passes . Each pass worth $ 45 ( $ 90 value ) - $ 70 -,45,45,$,-
17,"Was $ 34,919 Internet Price $ 29,995","34,919","34,919",$,-
18,worth the $ 200 extra to experience this ship .,200,200,$,-
19,Ohaus ES 30 R low cost scale - $ 424.80,424.80,424.80,$,-
20,"Includes vacuum Gauge - 0 - 30 inch of Hg , Metering flow control valve with fittings and hose fittings - cost $ 95.00",0,30,-,-
21,cost $ 45.00 for each item or a group of similar items .,45.00,45.00,$,-
22,"Faced with the prospect of paying heavy legal fees , the instructors agreed to drop the case and to pay Mr. Lathouwers $ 10,000 .","10,000","10,000",$,-
23,"McCracken to Pay Anaheim $ 6,500 in Campaign ReportingFines","6,500","6,500",$,-
24,"A base price of $ 13.20 was assumed for milk containing 3.5 % fat , 3 % true",13.20,13.20,$,-
25,She was out with a group of friends eating at a restaurant and racked up a bill worth $ 46.07 .,46.07,46.07,$,-
