index,pattern,Lb,Ub,Unit,Rate
,less than NUM_1 lbs,-,NUM_1,lbs,-
,over NUM_1 lbs,NUM_1,-,lbs,-
,from NUM_1 to NUM_2 mg kg,NUM_1,NUM_2,mg,-
,range of NUM_1 to NUM_2 kg,NUM_1,NUM_2,kg,-
,less than NUM_1 pounds,-,NUM_1,pounds,-
,weight of NUM_1 - NUM_2 kg,NUM_1,NUM_2,kg,-
,NUM_1 to NUM_2 mg per kg,NUM_1,NUM_2,mg,kg
,from NUM_1 to NUM_2 g kg,NUM_1,NUM_2,g,-
,between NUM_1 and NUM_2 pounds,NUM_1,NUM_2,pounds,-
,a maximum of NUM_1 kg,-,NUM_1,kg,-
,weigh from NUM_1 to NUM_2 kg,NUM_1,NUM_2,kg,-
,NUM_1 to NUM_2 lbs,NUM_1,NUM_2,lbs,-
,up to NUM_1 - NUM_2 kg,NUM_1,NUM_2,kg,-
,NUM_1 - NUM_2 mg per kg,NUM_1,NUM_2,mg,kg
,between NUM_1 and NUM_2 kg,NUM_1,NUM_2,kg,-
,from NUM_1 to NUM_2 pounds,NUM_1,NUM_2,pounds,-
,up to NUM_1 kg,-,NUM_1,kg,-
,capacity of up to NUM_1 kg,-,NUM_1,kg,-
,ranges from NUM_1 to NUM_2 kg,NUM_1,NUM_2,kg,-
,NUM_1 to NUM_2 pounds,NUM_1,NUM_2,pounds,-
,NUM_1 - NUM_2 lb,NUM_1,NUM_2,lb,-
,range from NUM_1 to NUM_2 kg,NUM_1,NUM_2,kg,-
,more than NUM_1 pounds,NUM_1,-,pounds,-
,a maximum weight of NUM_1 kg,-,NUM_1,kg,-
,ranging from NUM_1 to NUM_2 kg,NUM_1,NUM_2,kg,-
,ranged from NUM_1 to NUM_2 kg,NUM_1,NUM_2,kg,-
,up to NUM_1 lb,-,NUM_1,lb,-
,up to NUM_1 lbs,-,NUM_1,lbs,-
,NUM_1 - NUM_2 pounds,NUM_1,NUM_2,pounds,-
,NUM_1 to NUM_2 pounds,NUM_1,NUM_2,pounds,-
,up to NUM_1 pounds,-,NUM_1,pounds,-
